item_code;cluster
12000042001;3
12000044001;3
12000045001;4
12000057001;3
12000059001;1
12000067001;3
12000076001;3
12000080001;3
12000081001;4
12000089001;3
12000097001;3
12000101001;4
12000108001;3
12000125001;4
12000128001;3
12000129001;4
12000135001;3
12000149001;3
12000152001;4
12000163001;3
12000165001;3
12000169001;3
12000170001;3
12000178001;5
12000179001;7
12000182001;3
12000193001;3
12000196001;3
12000205001;3
12000206001;3
12000207001;3
12000214001;3
12000217001;3
12000220001;3
12000221001;3
12000223001;4
12000224001;3
12000225001;3
12000226001;3
12000232001;3
12000241001;3
12000246001;4
12000261001;4
12000270001;3
12000275001;3
12000276001;3
12000285001;3
12000288001;3
12000295001;3
12000309001;3
12000314001;3
12000317001;4
12000319001;3
12000320001;3
12000366001;3
12000372001;3
12000374001;4
12000375001;3
12000377001;4
12000381001;3
12000396001;3
12000405001;3
12000425001;3
12000468001;3
12000469001;3
12000485001;3
12000494001;3
12000495001;3
12000497001;3
12000498001;3
12000504001;3
12000505001;3
12001004001;4
12001018001;3
12001019001;3
12001026001;4
12001027001;3
12001029001;3
12001038001;3
12001049001;1
12001055001;3
12001064001;3
12001067001;3
12001071001;3
12001076001;3
12001077001;3
12001087001;3
12001093001;3
12001112001;4
12001999001;3
12002009001;3
12002013001;4
12002018001;3
12002023001;4
12002026001;3
12002036001;3
12002052001;3
12002062001;3
12002084001;3
12002104001;3
12002105001;3
12002107001;3
12002114001;3
12002118001;3
12002119001;3
12002158001;3
12002159001;3
12002948001;3
12002949001;3
12003006001;3
12003046001;3
12003058001;3
12003064001;3
12003069001;3
12003073001;3
12003084001;3
12003086001;3
12003090001;3
12003104001;3
12003111001;3
12003113001;3
12003134001;3
12003911001;3
12004016001;3
12004020001;3
12004063001;3
12005003001;3
12005003002;3
12005003003;3
12005003005;3
12005007001;3
12005009007;3
12005015001;3
12005015002;3
12005015003;3
12005015004;3
12005015006;3
12005015007;3
12005015008;3
12005015010;3
12005019001;3
12005019002;3
12005019003;3
12005019005;3
12005019006;3
12005019008;3
12005056001;3
12005056002;3
12005056003;3
12005072003;3
12005072005;3
12005082002;3
12005082003;3
12005082004;3
12005082006;3
12005082008;3
12005082010;3
12005082011;3
12005083002;3
12005084001;3
12005084002;3
12005084004;4
12005084005;3
12005084006;3
12005084008;3
12005084009;3
12005093001;4
12005093002;3
12005093004;4
12005093005;4
12005093008;4
12005093010;3
12005107006;3
12005108003;3
12005109003;3
12006020001;3
12006048001;3
12006067001;3
12006135001;3
12006144001;3
12010001001;1
12010003001;3
12010009001;4
12010010001;4
12010020001;1
12010022001;1
12010023001;4
12010034001;3
12010036001;1
12010037001;7
12010040001;3
12010041001;4
12010049001;4
12010051001;3
12010052001;3
12010053001;4
12010054001;4
12010055001;3
12010056001;3
12010058001;3
12010059001;7
12010060001;4
12010065001;3
12010067001;3
12010068001;3
12010071001;4
12010077001;4
12010079001;4
12010080001;1
12010084001;4
12010106001;4
12010107001;4
12010110001;7
12010113001;4
12010118001;3
12010119001;3
12010123001;3
12010137001;1
12010144001;1
12010145001;3
12010147001;3
12010149001;3
12010153001;3
12010156001;3
12010161001;3
12010163001;3
12010171001;3
12010172001;3
12010173001;3
12010180001;3
12010192001;3
12010193001;3
12010198001;2
12010200001;3
12010206001;3
12010214001;3
12010227001;3
12010228001;3
12010234001;1
12010243001;3
12010261001;3
12011003001;4
12011005001;4
12011018001;3
12011022001;4
12011033001;7
12011038001;3
12011042001;3
12011044001;3
12011050001;3
12011051001;3
12011056001;1
12011061001;3
12011062001;4
12011065001;4
