item_code;註記;(箱)長cm;(箱)寬cm;(箱)高cm;(箱)重量;箱入數;板入數;庫存量;庫存單位;庫存換算(箱);目前庫存(PCS)
10033016001;原萃日式綠茶Pet1250ml;36;26;31;15.87;12;55;2648;PCS;220.7;437
10033017001;黑松茶尋味新日式綠茶 1230ml;35;26;31;16.03;12;55;1491;PCS;124.3;9
10033018001;原萃綠茶玉露 Pet 580ml;37;25;24;14.89;24;60;26808;PCS;1117;2892
10033019001;御茶園日式綠茶無糖Pet1250ml;36;27;31;16.35;12;50;2106;PCS;175.5;277
10033020001;悅氏綠茶微甜Pet2000ml;36;24;32;17.51;8;52;1450;PCS;181.3;142
10033021001;Arizona水蜜桃綠茶;44;30;20;17.4;24;48;39;PCS;1.7;0
10033022001;冷泡茶冷萃綠茶無糖1235ml;35;26;31;15.98;12;55;1356;PCS;113;73
10033023001;KIRIN生茶 525ml;41;26;22;13.48;24;63;2147;PCS;89.5;32
10033025001;生活泡沫綠茶-微甜TP250ml;34;20;11;6.45;24;140;46799;PCS;1950;7686
10033026001;茶裏王台式綠茶微甜Pet1250ml;36;27;31;16;12;55;2030;PCS;169.2;227
10033027001;茶之初台灣四季春 535ml;42;28;24;15.08;24;54;1114.666667;PCS;46.5;1332
10033028001;御茶園特撰日式綠茶550ml;40;27;24;14.48;24;63;7776;PCS;324;1180
10033029001;濃韻日式綠茶Pet 600ml;41;28;24;15.62;24;54;1332;PCS;55.5;72
10033030001;黑松茶尋味新日式綠茶590ml;41;28;24;15.28;24;54;5781;PCS;240.9;1104
10033031001;古道梅子綠茶1500ml;38;29;32;19.8;12;40;288;PCS;24;0
10033032001;御茶園特上四季春綠茶微甜Pet 550ml;40;26;24;14.32;24;63;794;PCS;33.1;#N/A
10033033001;Arizona綠茶;44;30;20;17.76;24;48;283;PCS;11.8;493
