sku,product_name,observations,nonzero_observations,zero_value_pct,avg_nonzero_demand,std_nonzero_demand,cv_nonzero_demand_pct
10002017001,黑松沙士2L,21,21,0.0000,123.7619,110.1485,89.0003
10002018001,黑松沙士330ml,21,21,0.0000,633.4286,280.6665,44.3091
10002019001,維大力加鹽沙士Can330 ml,21,21,0.0000,433.1429,236.8490,54.6815
10002021001,蘋果西打-250ml,21,20,4.7619,757.2000,517.9410,68.4021
10002025001,黑松沙士1250 ml:黑松沙士,21,21,0.0000,14.7619,13.1221,88.8919
10002026001,芬達汽水橘子口味600ml,21,2,90.4762,36.0000,33.9411,94.2809
10002035001,維大力汽水2L,21,21,0.0000,29.3810,18.2277,62.0390
10002037001,七星藍莓汽泡香檳飲料750ml:七星藍莓汽泡香,21,4,80.9524,3.2500,3.2016,98.5096
10002038001,七星紅葡萄氣泡香檳飲料750ml:七星紅葡萄氣泡,21,6,71.4286,3.6667,2.6583,72.4996
10002039001,七星白葡萄汽泡香檳飲料750 ml,21,1,95.2381,24.0000,0.0000,0.0000
