item_code;product_name;first_observed_date;last_observed_date;history_days;nonzero_days;zero_demand_days;total_demand;lead_time_days;service_level;bootstrap_repetitions;resampling_method;random_seed;mean_lead_time_demand;reorder_point;safety_stock;minimum_inventory
10014116001;VICO 100 椰子水 1000ml:Vico 椰子水1L;2021-08-15;2021-08-21;7;7;0;508,000000;2;0,950000;10000;with_replacement;174;145,314700;433;287,685300;433
10014126001;台酒原味黑麥汁 330ml:台酒原味黑麥汁;2021-08-08;2021-08-21;14;14;0;528,000000;2;0,950000;10000;with_replacement;175;75,103200;150;74,896800;150
10014130001;崇德發白麥汁330ml:崇德發白麥汁;2021-08-01;2021-08-21;21;8;13;396,000000;2;0,950000;10000;with_replacement;176;37,119000;126;88,881000;126
10014898001;美粒果白葡萄蘆薈450mlPet;2021-08-09;2021-08-20;12;12;0;360,000000;2;0,950000;10000;with_replacement;177;60,216800;108;47,783200;108
10015007001;津津蘆筍汁Can245ml;2021-08-01;2021-08-21;21;21;0;7224,000000;2;0,950000;10000;with_replacement;178;692,200800;1224;531,799200;1224
10015011001;光泉正庄蘆筍汁TP250ml;2021-08-01;2021-08-20;20;19;1;2184,000000;2;0,950000;10000;with_replacement;179;218,070000;426;207,930000;426
10016002001;可果美100蕃茄檸檬汁280ml;2021-08-01;2021-08-20;20;10;10;232,000000;2;0,950000;10000;with_replacement;180;23,306400;60;36,693600;60
10016006001;愛之味鮮採蕃茄汁-Oligo保健 250ml;2021-08-19;2021-08-19;1;1;0;12,000000;2;0,950000;10000;with_replacement;181;24,000000;24;0,000000;24
10016011001;可果美無鹽蕃茄汁Can340ml;2021-08-02;2021-08-21;20;16;4;276,000000;2;0,950000;10000;with_replacement;182;27,850400;72;44,149600;72
10016014001;統一嚴選素材番茄汁Can340ml;2021-08-01;2021-08-21;21;13;8;1236,000000;2;0,950000;10000;with_replacement;183;114,407400;360;245,592600;360
10016015001;波蜜紅蕃茄汁TP250ml:波蜜紅蕃茄汁;2021-08-01;2021-08-21;21;21;0;2424,000000;2;0,950000;10000;with_replacement;184;230,967000;384;153,033000;384
10016018001;愛之味鮮採蕃茄汁-Oligo腸道保 530ml:腸道保健蕃茄汁;2021-08-20;2021-08-20;1;1;0;24,000000;2;0,950000;10000;with_replacement;185;48,000000;48;0,000000;48
10016020001;鮮採蕃茄綜合蔬菜汁升級配方 530ml:綜合蔬菜汁升級;2021-08-01;2021-08-21;21;20;1;508,000000;2;0,950000;10000;with_replacement;186;48,753200;92;43,246800;92
10020002001;貝納頌榛果拿鐵咖啡TP375;2021-08-01;2021-08-21;21;19;2;753,000000;2;0,950000;10000;with_replacement;187;71,975400;147;75,024600;147
10020003001;伯朗醇黑咖啡無糖;2021-08-01;2021-08-20;20;10;10;282,000000;2;0,950000;10000;with_replacement;188;28,471200;84;55,528800;84
10020004001;貝納頌經典拿鐵咖啡Can210ml;2021-08-01;2021-08-20;20;18;2;810,000000;2;0,950000;10000;with_replacement;189;80,392800;180;99,607200;180
10020006001;伯朗曼特寧咖啡二合一Can240ml:曼特寧2合1;2021-08-03;2021-08-03;1;1;0;6,000000;2;0,950000;10000;with_replacement;190;12,000000;12;0,000000;12
10020007001;伯朗咖啡原味Can240ml:金車伯朗咖啡;2021-08-01;2021-08-21;21;21;0;10218,000000;2;0,950000;10000;with_replacement;191;970,815600;1998;1027,184400;1998
10020011001;統一咖啡廣場TP300ml:統一咖啡廣場;2021-08-01;2021-08-21;21;19;2;2640,000000;2;0,950000;10000;with_replacement;192;250,041600;432;181,958400;432
10020012001;36法郎拿堤烘焙咖啡Can240ml:拿堤烘焙咖啡;2021-08-01;2021-08-19;19;12;7;282,000000;2;0,950000;10000;with_replacement;193;29,378400;96;66,621600;96
10020015001;伯朗曼特寧咖啡Can240ml;2021-08-01;2021-08-20;20;19;1;1092,000000;2;0,950000;10000;with_replacement;194;109,086600;252;142,913400;252
10020016001;韋恩 Flash Brew閃萃黑咖啡500ml;2021-08-05;2021-08-21;17;13;4;376,000000;2;0,950000;10000;with_replacement;195;44,844400;108;63,155600;108
10020017001;曼仕德濃醇拿鐵咖啡Can235ml:曼仕德濃醇拿鐵;2021-08-06;2021-08-09;4;2;2;7,000000;2;0,950000;10000;with_replacement;196;3,520100;12;8,479900;12
10020018001;伯朗藍山咖啡Can240 ml:金車藍山咖啡;2021-08-01;2021-08-21;21;21;0;5190,000000;2;0,950000;10000;with_replacement;197;491,450400;822;330,549600;822
10020019001;貝納頌經典曼特寧咖啡Can210ml:貝納頌經典曼特;2021-08-01;2021-08-20;20;14;6;294,000000;2;0,950000;10000;with_replacement;198;29,458200;84;54,541800;84
10020024001;貝納頌黑咖啡 Can 210ml;2021-08-01;2021-08-20;20;18;2;474,000000;2;0,950000;10000;with_replacement;199;47,574600;96;48,425400;96
10020025001;貝納頌直火炭焙風味 Can 210ml:貝納頌直火炭焙;2021-08-02;2021-08-20;19;13;6;354,000000;2;0,950000;10000;with_replacement;200;37,126800;90;52,873200;90
10020027001;貝納頌咖啡TP375ml:貝納頌咖啡;2021-08-01;2021-08-21;21;21;0;2232,000000;2;0,950000;10000;with_replacement;201;212,113500;411;198,886500;411
