item_code,(箱)長cm,(箱)寬cm,(箱)高cm,max_comp_number
10031016001,34.0,20.0,11.0,28
10031017001,35.0,21.0,13.0,20
10031019001,41.0,27.0,23.0,5
10031021001,35.0,21.0,15.0,18
10031022001,41.0,28.0,24.0,5
10031023001,43.0,27.0,24.0,5
10031025001,43.0,29.0,25.0,5
10031026001,35.0,27.0,30.0,6
10031027001,42.0,28.0,24.0,5
10031030001,42.0,28.0,23.0,5
10031031001,35.0,21.0,12.0,22
10031033001,37.0,25.0,24.0,9
10031899001,32.0,19.0,32.0,9
10031900001,41.0,28.0,21.0,6
10031901001,35.0,26.0,31.0,6
10031902001,43.0,30.0,24.0,5
10031909001,38.0,26.0,23.0,9
10031910001,35.0,20.0,11.0,28
10031911001,35.0,21.0,12.0,22
10031916001,29.0,21.0,20.0,20
10031917001,40.0,27.0,23.0,5
10032001001,35.0,27.0,28.0,8
10032003001,35.0,20.0,15.0,21
10032004001,37.0,25.0,22.0,10
10032005001,35.0,20.0,15.0,21
10032006001,34.0,20.0,11.0,28
10032007001,43.0,28.0,24.0,5
10032008001,34.0,20.0,11.0,28
10032010001,34.0,20.0,11.0,28
10032011001,42.0,25.0,8.0,16
10032013001,40.0,20.0,14.0,12
10032014001,40.0,27.0,24.0,5
10032015001,41.0,27.0,24.0,5
10032016001,35.0,20.0,11.0,28
10032019001,35.0,20.0,11.0,28
10032020001,41.0,28.0,21.0,6
10032023001,35.0,21.0,13.0,20
10032046001,41.0,24.0,8.0,22
10032047001,42.0,25.0,8.0,16
10032048001,42.0,28.0,24.0,5
10032049001,35.0,21.0,12.0,22
10032052001,40.0,37.0,22.0,4
10032054001,35.0,21.0,15.0,18
10032055001,35.0,20.0,14.0,22
10032056001,40.0,28.0,25.0,5
10032057001,41.0,27.0,24.0,5
10032059001,38.0,25.0,24.0,9
10032064001,34.0,20.0,11.0,28
10032081001,41.0,28.0,21.0,6
10033001001,40.0,27.0,19.0,7
10033002001,35.0,26.0,31.0,6
10033003001,42.0,29.0,24.0,5
10033004001,37.0,25.0,24.0,9
10033005001,35.0,20.0,11.0,28
10033006001,35.0,24.0,31.0,7
10033010001,35.0,26.0,31.0,6
10033011001,42.0,29.0,24.0,5
10033012001,41.0,28.0,24.0,5
10033013001,40.0,27.0,24.0,5
10033014001,41.0,27.0,24.0,5
10033015001,40.0,28.0,24.0,5
10033016001,36.0,26.0,31.0,6
10033017001,35.0,26.0,31.0,6
10033018001,37.0,25.0,24.0,9
10033019001,36.0,27.0,31.0,6
10033020001,36.0,24.0,32.0,7
10033021001,44.0,30.0,20.0,6
10033022001,35.0,26.0,31.0,6
10033023001,41.0,26.0,22.0,6
10033025001,34.0,20.0,11.0,28
10033026001,36.0,27.0,31.0,6
10033027001,42.0,28.0,24.0,5
10033028001,40.0,27.0,24.0,5
10033029001,41.0,28.0,24.0,5
10033030001,41.0,28.0,24.0,5
10033031001,38.0,29.0,32.0,6
10033032001,40.0,26.0,24.0,5
10033033001,44.0,30.0,20.0,6
10033034001,35.0,27.0,31.0,6
10033036001,40.0,28.0,24.0,5
10033037001,35.0,21.0,11.0,24
10033038001,35.0,27.0,31.0,6
10033041001,39.0,26.0,24.0,9
10033043001,41.0,27.0,24.0,5
10033044001,35.0,23.0,31.0,7
10033046001,42.0,28.0,24.0,5
10033048001,43.0,28.0,24.0,5
