item_code;product_name;history_days;lead_time_days;service_level;bootstrap_repetitions;resampling_method;evaluation_status;train_days;test_days;number_of_test_cases;evaluation_reorder_point;evaluation_mean_lead_time_demand;evaluation_safety_stock;achieved_csl;shortage_units;fill_rate;total_actual_lead_time_demand
14633897001;牛頭牌素食沙茶醬 250g;21;2;0,950000;10000;with_replacement;ok;16,000000;5,000000;4,000000;11,000000;2,810800;8,189200;1,000000;0,000000;1,000000;12,000000
14633900001;牛頭牌沙茶醬600g:牛頭牌沙茶醬;12;2;0,950000;10000;with_replacement;ok;9,000000;3,000000;2,000000;21,000000;11,782000;9,218000;1,000000;0,000000;1,000000;35,000000
14633934001;新康寶排骨風味湯塊100G:新康寶排骨湯塊;18;2;0,950000;10000;with_replacement;ok;14,000000;4,000000;3,000000;12,000000;4,959600;7,040400;1,000000;0,000000;1,000000;11,000000
14633935001;新康寶雞湯塊100g:新康寶雞湯塊;21;2;0,950000;10000;with_replacement;ok;16,000000;5,000000;4,000000;16,000000;7,628500;8,371500;1,000000;0,000000;1,000000;32,000000
14633936001;新康寶海鮮湯塊100g:新康寶海鮮湯塊;18;2;0,950000;10000;with_replacement;ok;14,000000;4,000000;3,000000;3,000000;1,420000;1,580000;1,000000;0,000000;1,000000;7,000000
14633937001;新康寶香菇湯塊100g:新康寶香菇湯塊;18;2;0,950000;10000;with_replacement;ok;14,000000;4,000000;3,000000;2,000000;1,000000;1,000000;0,333333;7,000000;0,461538;13,000000
14633938001;牛頭牌原味高湯411g-昆布海鮮風味:昆布海鮮風味;6;2;0,950000;10000;with_replacement;ok;4,000000;2,000000;1,000000;24,000000;11,035500;12,964500;1,000000;0,000000;1,000000;3,000000
14634023001;健康廚房古早味烤肉醬;1;2;0,950000;10000;with_replacement;not_enough_history_for_holdout;;;;;;;;;;
14634027001;金蘭烤肉醬 240g:金蘭烤肉醬;19;2;0,950000;10000;with_replacement;ok;15,000000;4,000000;3,000000;7,000000;2,544600;4,455400;0,666667;3,000000;0,800000;15,000000
14634047001;萬家香醃烤肉醬225g:醃烤肉醬;20;2;0,950000;10000;with_replacement;ok;16,000000;4,000000;3,000000;10,000000;1,732800;8,267200;1,000000;0,000000;1,000000;1,000000
14700007001;良農萬丹紅豆:良農萬丹紅豆;18;2;0,950000;10000;with_replacement;ok;14,000000;4,000000;3,000000;7,000000;2,802600;4,197400;1,000000;0,000000;1,000000;4,000000
14700008001;屏東紅豆 600g;11;2;0,950000;10000;with_replacement;ok;8,000000;3,000000;2,000000;3,000000;0,999000;2,001000;1,000000;0,000000;1,000000;2,000000
14700026001;茂喜綠豆400g;21;2;0,950000;10000;with_replacement;ok;16,000000;5,000000;4,000000;21,000000;8,621300;12,378700;1,000000;0,000000;1,000000;35,000000
14700031001;家福非基改黃豆:家福非基改黃豆;1;2;0,950000;10000;with_replacement;not_enough_history_for_holdout;;;;;;;;;;
14700035001;登豐 紅豆;7;2;0,950000;10000;with_replacement;ok;5,000000;2,000000;1,000000;1,000000;0,406700;0,593300;1,000000;0,000000;1,000000;1,000000
14700036001;綠豆仁400g:綠豆仁400g;15;2;0,950000;10000;with_replacement;ok;12,000000;3,000000;2,000000;3,000000;0,834400;2,165600;1,000000;0,000000;1,000000;4,000000
14700037001;登豐 非基因改造黃豆720g:非基因改造黃豆;16;2;0,950000;10000;with_replacement;ok;12,000000;4,000000;3,000000;3,000000;0,827400;2,172600;1,000000;0,000000;1,000000;5,000000
14700077001;家樂福綠豆:家福綠豆;11;2;0,950000;10000;with_replacement;ok;8,000000;3,000000;2,000000;16,000000;4,294200;11,705800;1,000000;0,000000;1,000000;1,000000
14700078001;家樂福屏東紅豆:家福屏東紅豆;20;2;0,950000;10000;with_replacement;ok;16,000000;4,000000;3,000000;10,000000;4,881000;5,119000;1,000000;0,000000;1,000000;5,000000
14701008002;卡滋DIY玉米粒:蘑菇狀;18;2;0,950000;10000;with_replacement;ok;14,000000;4,000000;3,000000;4,000000;1,564500;2,435500;1,000000;0,000000;1,000000;3,000000
14701012001;有機青仁黑豆400g:有機青仁黑豆40;17;2;0,950000;10000;with_replacement;ok;13,000000;4,000000;3,000000;1,000000;0,302300;0,697700;0,666667;2,000000;0,500000;4,000000
14701022001;登豐紫糯米500g;2;2;0,950000;10000;with_replacement;not_enough_history_for_holdout;;;;;;;;;;
