item_id,item_code,item_name,box_length,box_width,box_height,box_volume,box_weight,number_of_item_in_a_box,item_volume,item_unit,item_quantity_order_unique,item_quantity_order_unique_frequency,item_initial_quantity_inventory,total_demand,daily_mean,daily_std,total_order_freq,daily_freq_mean,cv2,adi,composite_metric,item_class,item_class_alphabetical,item_initial_inventory
3547,14210064001,森之果物嚴選整粒蔓越莓乾,41.0,29.0,14.0,16646.0,3.0,12,1387.2,PCS,[1],[3],1,3,1.0,0.0,3,1.0,0.0,7.0,1.0,4,CY,1
3548,14210067001,家樂福珍珠芭樂果乾,36.0,21.0,19.0,14364.0,1.23,20,718.2,PCS,"[1, 2, 3]","[19, 2, 1]",2,26,1.238095238095238,0.5389584311207967,22,1.0476190476190477,0.1894970414201183,1.0,1.2970521541950115,4,CX,3
3549,14210068001,甘草芭樂乾50g,27.0,19.0,15.0,7695.0,1.26,20,384.8,PCS,"[1, 2, 3]","[6, 2, 1]",3,13,1.625,1.0606601717798212,9,1.125,0.4260355029585798,2.625,1.828125,1,BY,5
3550,14210077001,果漾天然芭樂乾,34.0,26.0,18.0,15912.0,3.1,20,795.6,PCS,"[1, 2, 3, 4]","[4, 35, 1, 3]",3,89,2.225,0.6196566460342041,43,1.075,0.0775607845422262,0.525,2.391875,3,BX,4
3551,14210079001,果漾天然愛文青芒果乾,34.0,26.0,19.0,16796.0,3.0,20,839.8,PCS,"[2, 3, 4]","[22, 1, 1]",3,51,2.125,0.4484272031464406,24,1.0,0.0445313675342259,0.875,2.125,3,BX,4
3552,14210081001,家樂福紅心芭樂果乾35g,36.0,21.0,19.0,14364.0,1.03,20,718.2,PCS,"[1, 2, 3, 8]","[18, 2, 1, 1]",4,33,1.5,1.535298947157477,22,1.0,1.0476190476190477,0.9545454545454546,1.5,4,CY,6
3553,14210085001,溢旺梅子葡萄乾,57.0,31.0,21.0,37107.0,4.3,12,3092.3,PCS,"[1, 2]","[18, 4]",2,26,1.3,0.6569466853317862,22,1.1,0.2553721582061662,1.05,1.4300000000000002,4,CX,3
3554,14210089001,家樂福全果粒蔓越莓果乾42g,36.0,21.0,19.0,14364.0,1.18,20,718.2,PCS,"[1, 7, 8]","[6, 1, 1]",6,21,2.625,3.020761493398643,8,1.0,1.324263038548753,2.625,2.625,1,BZ,11
3555,14210108001,果漾天然草莓乾,34.0,26.0,18.0,15912.0,2.4,20,795.6,PCS,"[2, 4, 8]","[17, 1, 2]",5,54,2.7,1.866604008973459,20,1.0,0.4779438307703413,1.05,2.7,3,BX,8
3556,14210110001,華陀御品堂 陳皮梅,35.0,26.0,19.0,17290.0,3.32,8,2161.3,PCS,"[1, 2]","[12, 3]",2,18,1.2,0.4140393356054125,15,1.0,0.119047619047619,1.4,1.2,4,CY,3
3557,14210113001,森之果物嚴選鑽石麝香葡萄乾,40.0,29.0,13.0,15080.0,3.56,12,1256.7,PCS,"[1, 2]","[6, 2]",2,10,1.25,0.4629100498862757,8,1.0,0.1371428571428571,2.625,1.25,4,CY,3
3558,14210114001,森之果物嚴選特大葡萄乾,41.0,29.0,13.0,15457.0,4.6,12,1288.1,PCS,"[1, 2]","[4, 1]",2,6,1.2,0.4472135954999579,5,1.0,0.1388888888888889,4.2,1.2,4,CY,3
3559,14210120001,果漾天然愛文芒果乾,34.0,26.0,19.0,16796.0,2.5,20,839.8,PCS,"[2, 4]","[33, 3]",3,78,2.294117647058824,0.8714116643527635,36,1.0588235294117647,0.1442830673599904,0.6176470588235294,2.4290657439446366,3,BX,5
3560,14210127001,聯國葡萄乾,49.0,28.0,19.0,26068.0,8.52,12,2172.3,PCS,"[1, 2, 3, 5]","[1, 2, 1, 1]",5,13,2.6,1.51657508881031,5,1.0,0.3402366863905325,4.2,2.6,1,BY,7
3561,14210132001,家樂福草莓果乾,37.0,22.0,19.0,15466.0,1.16,20,773.3,PCS,"[1, 2, 3, 6, 7]","[6, 3, 2, 2, 1]",6,37,2.8461538461538463,3.2105595007244934,14,1.0769230769230769,1.272461650840029,1.6153846153846154,3.06508875739645,1,BZ,12
3562,14210135001,森之果物嚴選切片蔓越莓乾,31.0,21.0,23.0,14973.0,2.74,12,1247.8,PCS,"[1, 2, 5]","[4, 1, 1]",4,11,2.2,1.6431676725154984,6,1.2,0.5578512396694214,4.2,2.64,1,BZ,7
3563,14210137001,Sunny Ranch無花果果乾,32.0,30.0,18.0,17280.0,5.1,6,2880.0,PCS,"[1, 2, 12]","[2, 1, 1]",10,16,4.0,5.354126134736337,4,1.0,1.7916666666666663,5.25,4.0,1,BZ,18
3564,14210216001,森之果物嚴選迷你鳳梨乾,30.0,21.0,23.0,14490.0,1.65,12,1207.5,PCS,[1],[1],1,1,1.0,0.0,1,1.0,0.0,21.0,1.0,4,CY,1
3565,14210286001,鮮果水果乾-青芒果乾,35.0,30.0,13.0,13650.0,1.27,12,1137.5,PCS,[1],[1],1,1,1.0,0.0,1,1.0,0.0,21.0,1.0,4,CY,1
3566,14210899001,Sunny Ranch天然椰棗,48.0,31.0,23.0,34224.0,7.522,6,5704.0,PCS,"[1, 3]","[2, 1]",3,5,1.6666666666666667,1.1547005383792517,3,1.0,0.4800000000000001,7.0,1.6666666666666667,4,CY,5
3567,14211028001,手摘果物- 梅肉,28.0,19.0,16.0,8512.0,0.59,15,567.5,PCS,"[1, 2, 3]","[9, 1, 1]",2,14,1.2727272727272727,0.6466697906828633,11,1.0,0.2581632653061225,1.9090909090909087,1.2727272727272727,4,CY,3
3568,14211036001,茉莉脆梅65g,27.0,19.0,15.0,7695.0,1.66,20,384.8,PCS,[1],[5],1,5,1.0,0.0,5,1.0,0.0,4.2,1.0,4,CY,1
3569,14211038001,無籽冰心話梅15g,27.0,19.0,15.0,7695.0,0.52,20,384.8,PCS,"[1, 2, 3]","[11, 4, 2]",3,25,1.4705882352941178,0.7174300539794394,17,1.0,0.238,1.2352941176470589,1.4705882352941178,4,CX,4
3570,14211052001,家樂福小紅莓,36.0,22.0,19.0,15048.0,1.66,20,752.4,PCS,"[1, 2, 5]","[7, 2, 1]",3,16,1.6,1.2649110640673518,10,1.0,0.6249999999999999,2.1,1.6,4,CZ,5
3571,14211055001,泰國頭等艙梅子,31.0,24.0,28.0,20832.0,6.32,30,694.4,PCS,"[1, 2, 3]","[24, 3, 1]",2,33,1.1785714285714286,0.4755948656056709,28,1.0,0.16284052647689,0.75,1.1785714285714286,4,CX,3
3572,14212013001,家樂福碳燻烏梅李,36.0,21.0,19.0,14364.0,1.83,20,718.2,PCS,"[1, 2, 3, 5]","[9, 1, 1, 1]",3,19,1.5833333333333333,1.2401124093721456,12,1.0,0.6134474943339211,1.75,1.5833333333333333,4,CZ,5
3573,14213008001,口福不淺水果脆片,34.0,27.0,18.0,16524.0,0.93,12,1377.0,PCS,"[1, 2]","[5, 1]",2,7,1.1666666666666667,0.408248290463863,6,1.0,0.1224489795918367,3.5,1.1666666666666667,4,CY,3
3574,14213010001,口福不淺蔬菜脆片,34.0,27.0,18.0,16524.0,0.98,12,1377.0,PCS,[1],[5],1,5,1.0,0.0,5,1.0,0.0,4.2,1.0,4,CY,1
3575,14213028001,手摘果物--仙楂果,28.0,19.0,16.0,8512.0,2.04,15,567.5,PCS,"[1, 8]","[4, 1]",8,12,4.0,5.196152422706632,5,1.6666666666666667,1.6875,7.0,6.666666666666667,1,BZ,18
3576,14213055001,阿拉伯椰棗乾,45.0,30.0,22.0,29700.0,7.0,12,2475.0,PCS,"[1, 2, 3, 9]","[4, 2, 1, 1]",6,20,2.857142857142857,4.059087394500207,8,1.1428571428571428,2.018333333333333,3.0,3.26530612244898,1,BZ,14
3577,14220002001,道地偉特糖,40.0,30.0,21.0,25200.0,6.05,16,1575.0,PCS,"[1, 2, 3]","[40, 7, 1]",2,57,1.1875,0.4451272827768934,48,1.0,0.1405080450285849,0.4375,1.1875,4,CX,3
3578,14220005001,加倍佳Mini棒棒糖,31.0,26.0,22.0,17732.0,3.44,12,1477.7,PCS,"[1, 2, 3, 11, 12]","[23, 5, 2, 1, 1]",5,62,1.9375,2.5770388107783835,32,1.0,1.769124903494344,0.65625,1.9375,1,BY,9
3579,14220019001,Ogontoh黃金糖80g,30.0,24.0,5.0,3600.0,0.9,10,360.0,PCS,"[1, 2, 3]","[15, 2, 2]",3,25,1.3888888888888888,0.9164438231805327,19,1.0555555555555556,0.4353882352941177,1.1666666666666667,1.4660493827160497,4,CX,4
3580,14220071001,迷你曼陀珠袋裝什錦水果,31.0,22.0,13.0,8866.0,3.0,12,738.8,PCS,"[1, 2, 3, 4]","[23, 5, 2, 1]",3,43,1.4333333333333331,0.7738543627276672,31,1.0333333333333334,0.2914902743328175,0.7,1.4811111111111113,4,CX,4
3581,14220078001,道地的偉特咖啡鮮奶油糖286g,40.0,29.0,21.0,24360.0,6.0,20,1218.0,PCS,"[1, 2]","[25, 8]",2,41,1.3666666666666667,0.6686751354593717,33,1.1,0.2393895259389935,0.7,1.5033333333333334,4,CX,4
3582,14220085001,道地的偉特焦糖夾心鮮奶油糖,40.0,31.0,22.0,27280.0,6.42,20,1364.0,PCS,"[1, 2]","[9, 2]",2,13,1.181818181818182,0.4045199174779452,11,1.0,0.1171597633136094,1.9090909090909087,1.181818181818182,4,CY,3
3583,14220086001,KOPIKO咖啡糖,35.0,28.0,17.0,16660.0,4.2,24,694.2,PCS,"[1, 2, 4, 7]","[13, 4, 1, 1]",4,32,1.6842105263157894,1.4926721593968972,19,1.0,0.7854817708333333,1.105263157894737,1.6842105263157894,4,CY,6
3584,14220132001,愛力檸檬C(3支入)66g,21.0,16.0,13.0,4368.0,1.79,15,291.2,PCS,"[1, 2, 7, 8, 10]","[7, 3, 1, 2, 1]",7,46,3.5384615384615383,3.3569674960045064,14,1.0769230769230769,0.9000472589792059,1.6153846153846154,3.810650887573964,1,BZ,13
